FIRST,LAST,EMAIL
james,butler,jbutler@gmail.com
Josephine  ,Darakjy,josePHIne_darakjy@darakjy.org
ART,VENERE,ART@VENERE.ORG
Lenna,Paprocki   ,lpaprocki@hotmail.com
  donette ,foller,donette.foller@cox.net
SIMONA ,MORASCA,SIMONA@MORASCA.COM
Mitsue,Tollner ,mitsue_tollner@yahoo.com
Leota,Dilliard,leota@hotmail.com
SAGE,WIESER          ,SAGE_WIESER@COX.NET
Kris,Marrier  ,kris@gmail.com
Minna,Amigon,minna_amigon@yahoo.com
abel, Maclead,amaclead@gmail.com
Kiley,Caldarera,kiley.caldarera@aol.com
Graciela,Ruta,gruta@cox.net
Cammy,Albares  ,calbares@gmail.com
Mattie,Poquette,mattie@aol.com
meaghan,          garufi,meaghan@hotmail.com
Gladys,Rim,gladys.rim@rim.org
Yuki,whobrey,yuki_whobrey@aol.com
Fletcher, Flosi,fletcher.flosi@yahoo.com
bette,Nicka,BETTE_nicka@cox.net
Veronika,Inouye,vinouye@aol.com
Willard,Kolmetz, willard@hotmail.com
Maryann,Royster,          mroyster@royster.com
